Bird no. ,Species,Family ,Code ,Sex,Observer ,Observation no. ,Site ,BroodSize,BroodAge ,Date ,Julian ,StartTime ,AmbientTemp ,BroodAttendance ,BroodDefense ,Alert ,Self-maintanence ,Other ,Away
1,Wfp,-900,L.L/M.L ,M ,Georgie ,1,H,2,9,10/05/2019,19130,15:40,27.6,0,0,0,38.3,42.5,19.2
2,Wfp,-900,x.x/x.x,F ,Georgie ,1,H,2,9,10/05/2019,19130,15:40,27.6,30,1.7,0,11.7,56.7,0
3,Wfp,-201,B.M/G.O ,M ,Georgie ,1,D,2,23,26/05/2019,19146,09:44,27.4,0,0,3.3,17.5,79.2,0
4,Wfp,-201,B.O/M.B,F ,Georgie ,1,D,2,23,26/05/2019,19116,09:44,27.4,0,1.7,14.2,0.8,83.3,0
5,Wfp,-204,B.O/B.O,M ,Georgie ,1,H,2,25,08/05/2019,19128,16:15,28,21.7,0,0,4.2,74.2,0
6,Wfp,-204,B.B/M.L ,F ,Georgie ,1,H,2,25,08/05/2019,19128,16:15,28,0,0.8,0,40.8,55.8,3.3
7,Wfp,313,x.x/x.x,M ,Georgie ,1,G,2,8,03/05/2019,19123,08:45,27.5,0,2.5,0,14.2,83.3,0
8,Wfp,313,Y.R/M.G ,F ,Georgie ,1,G,2,8,03/05/2019,19123,08:45,27.5,0,0,0,19.2,80.8,0
9,Wfp,-402,x.x/x.x,M ,Georgie ,1,D,1,18,20/04/2019,19110,17:11,28,0,0,0,10,60.8,29.2
10,Wfp,-402,O.L/M.B,F ,Georgie ,1,D,1,18,20/04/2019,19110,17:11,28,0,0,0.8,10,89.2,0
11,Wfp,403,R.Y/M.O,M ,Georgie ,1,B ,2,5,20/04/2019,19110,08:27,25.9,0,0,8.3,0,91.7,0
12,Wfp,403,x.x/x.x,F ,Georgie ,1,B ,2,5,20/04/2019,19110,08:27,25.9,0,0,7.5,0.8,91.7,0
13,Wfp,902,x.x/x.x,M ,Georgie ,1,H,2,1,15/05/2019,19135,15:54,27.2,20,2.5,0,1.7,75.8,0
14,Wfp,902,R.Y/Y.M ,F ,Georgie ,1,H,2,1,15/05/2019,19135,15:54,27.2,24.2,0,1.7,4.2,70,0
15,Wfp,309,L.R/M.Y,M ,Nemena ,1,F,3,20,15/05/2019,19135,07:15,18.1,0,0,0,0.8,20,79.2
16,Wfp,309,M.G/B.W,F ,Nemena ,1,F,3,20,15/05/2019,19135,07:15,18.1,0,0,0.8,32.5,66.8,0
17,Wfp,310,W.B/M.L,M ,Nemena ,1,F,2,2,26/04/2019,19116,11:18,30.1,0,6.7,1.7,1.7,40,50
18,Wfp,310,G.W/M.X,F ,Nemena ,1,F,2,2,26/04/2019,19116,11:18,30.1,0,3.3,1.7,7.5,79.1,8.3
19,Wfp,-301,X.X/X.X,M ,Nemena ,1,F,1,14,29/04/2019,19119,10:10,29.2,0,0,13.3,0,87.7,0
20,Wfp,-301,R.B/M.G,F ,Nemena ,1,F,1,14,29/04/2019,19119,10:10,29.2,0,0,5.8,9.2,85,0
21,Wfp,801,O.L/M.Y,M ,Georgie ,1,E,2,2,07/06/2019,19158,16:05,24.9,0,0,0,31.7,68.3,0
22,Wfp,801,L.O/M.L ,F ,Georgie ,1,E,2,2,07/06/2019,19158,16:05,24.9,95.8,0,0,0,4.2,0
23,Wfp,316,B.R/M.W ,M ,Georgie ,1,F,1,2,14/06/2019,19165,09:50,24.9,0,4.2,0,50,45.8,0
